"Freq [GHz]","Phi [deg]","Theta [deg]","dB(rETotal) []"
1.8,0,0,-0.323963922497961
1.8,0,5,-0.369346259182137
1.8,0,10,-0.496959539900227
1.8,0,15,-0.705305254253754
1.8,0,20,-0.992115348246613
1.8,0,25,-1.35442157779145
1.8,0,30,-1.78861228749829
1.8,0,35,-2.29046777572999
1.8,0,40,-2.85516881754356
1.8,0,45,-3.47727648277382
1.8,0,50,-4.15068542715059
1.8,0,55,-4.86855809839523
1.8,0,60,-5.6232547623945
1.8,0,65,-6.4062849226411
1.8,0,70,-7.20832010579182
1.8,0,75,-8.019324835121
1.8,0,80,-8.82887652101494
1.8,0,85,-9.62674429671006
1.8,0,90,-10.403764609317
1.8,0,95,-11.1529738146291
1.8,0,100,-11.8708405135542
1.8,0,105,-12.5583214907107
1.8,0,110,-13.2214084354312
1.8,0,115,-13.8708858075183
1.8,0,120,-14.521166490332
1.8,0,125,-15.1882244783546
1.8,0,130,-15.8867042596852
1.8,0,135,-16.6262291747057
1.8,0,140,-17.4068721855195
1.8,0,145,-18.2140134446773
1.8,0,150,-19.0139366123993
1.8,0,155,-19.7538363380066
1.8,0,160,-20.3717289993195
1.8,0,165,-20.8175890389627
1.8,0,170,-21.0741736093947
1.8,0,175,-21.1588057233578
1.8,0,180,-21.1030767657834
1.8,0,185,-20.9289446523707
1.8,0,190,-20.6395407629226
1.8,0,195,-20.227633209867
1.8,0,200,-19.6922184102334
1.8,0,205,-19.0498902644043
1.8,0,210,-18.3335360885324
1.8,0,215,-17.5818919445965
1.8,0,220,-16.8287385967606
1.8,0,225,-16.0970292612831
1.8,0,230,-15.3979182536936
1.8,0,235,-14.7324964611367
1.8,0,240,-14.0944307722511
1.8,0,245,-13.4726609351942
1.8,0,250,-12.8539142073317
1.8,0,255,-12.2249954723902
1.8,0,260,-11.5747778584549
1.8,0,265,-10.8957280133974
1.8,0,270,-10.1847725420694
1.8,0,275,-9.44340176448272
1.8,0,280,-8.67708204735468
1.8,0,285,-7.89421384788425
1.8,0,290,-7.10494282805321
1.8,0,295,-6.32008752768422
1.8,0,300,-5.55033591454734
1.8,0,305,-4.80574819520478
1.8,0,310,-4.09552377521563
1.8,0,315,-3.42795344144297
1.8,0,320,-2.81047298460557
1.8,0,325,-2.24974785613138
1.8,0,330,-1.75174002800077
1.8,0,335,-1.32173181702098
1.8,0,340,-0.964302888760447
1.8,0,345,-0.683272802351981
1.8,0,350,-0.481630264356879
1.8,0,355,-0.361471367002443
1.8,0,360,-0.323963922497962
