"Freq [GHz]","dB(St11) []"
0.9,-0.355090060831102
0.918181818181818,-0.366533500994101
0.936363636363636,-0.377561182187008
0.954545454545454,-0.388168076469668
0.972727272727273,-0.398348095952166
0.990909090909091,-0.408094827784985
1.00909090909091,-0.417402203533619
1.02727272727273,-0.426265104270376
1.04545454545455,-0.434679903568099
1.06363636363636,-0.442644951527484
1.08181818181818,-0.450161003982994
1.1,-0.457231602097794
1.11818181818182,-0.463863408678642
1.13636363636364,-0.470066508738347
1.15454545454545,-0.475854683150581
1.17272727272727,-0.481245665749031
1.19090909090909,-0.48626139602297
1.20909090909091,-0.490928281800492
1.22727272727273,-0.495277489192017
1.24545454545455,-0.499345280874216
1.26363636363636,-0.50317342892801
1.28181818181818,-0.50680973546915
1.3,-0.510308704041205
1.31818181818182,-0.513732418363851
1.33636363636364,-0.517151704297964
1.35454545454545,-0.520647678432252
1.37272727272727,-0.524313826517627
1.39090909090909,-0.528258813271188
1.40909090909091,-0.532610311587659
1.42727272727273,-0.537520269546261
1.44545454545455,-0.543172233274961
1.46363636363636,-0.549791655220155
1.48181818181818,-0.557660613087948
1.5,-0.567139171163161
1.51818181818182,-0.578696959772171
1.53636363636364,-0.592960849439779
1.55454545454545,-0.610788653335379
1.57272727272727,-0.633386185703125
1.59090909090909,-0.662498987309407
1.60909090909091,-0.700737595800366
1.62727272727273,-0.752152198074103
1.64545454545455,-0.823296636322952
1.66363636363636,-0.925309186661143
1.68181818181818,-1.07825058603856
1.7,-1.3208506412824
1.71818181818182,-1.73438117192135
1.73636363636364,-2.5069513832655
1.75454545454545,-4.12280272572587
1.77272727272727,-7.92501644421792
1.79090909090909,-14.031780165656
1.80909090909091,-7.86393439950315
1.82727272727273,-4.25035173190003
1.84545454545455,-2.69399039727729
1.86363636363636,-1.93706970221695
1.88181818181818,-1.52713193279215
1.9,-1.28604260456544
1.91818181818182,-1.13546549436697
1.93636363636364,-1.03739566147526
1.95454545454545,-0.971813512809498
1.97272727272727,-0.927430202837212
1.99090909090909,-0.897509132551908
2.00909090909091,-0.877834177422048
2.02727272727273,-0.86565740003502
2.04545454545455,-0.859123933860995
2.06363636363636,-0.85694283954287
2.08181818181818,-0.858191112435589
2.1,-0.862192908103957
2.11818181818182,-0.868442880604255
2.13636363636364,-0.876556265254495
2.15454545454545,-0.8862356673135
2.17272727272727,-0.897248575891694
2.19090909090909,-0.909411945340028
2.20909090909091,-0.922581557942425
2.22727272727273,-0.936644716095539
2.24545454545455,-0.951515335475649
2.26363636363636,-0.967130850415998
2.28181818181818,-0.983450572984102
2.3,-1.00045531275646
2.31818181818182,-1.01814819330256
2.33636363636364,-1.03655671308597
2.35454545454545,-1.05573620734544
2.37272727272727,-1.07577498615464
2.39090909090909,-1.09680156515543
2.40909090909091,-1.11899458441322
2.42727272727273,-1.14259624653535
2.44545454545455,-1.16793042312547
2.46363636363636,-1.19542701371654
2.48181818181818,-1.2256547416323
2.5,-1.25936540279856
2.51818181818182,-1.29755373562975
2.53636363636364,-1.34153866987709
2.55454545454546,-1.3930738852108
2.57272727272727,-1.45449852838022
2.59090909090909,-1.52894273880509
2.60909090909091,-1.62060732675962
2.62727272727273,-1.73514219672076
2.64545454545455,-1.88015280056244
2.66363636363636,-2.06586548060667
2.68181818181818,-2.30597622930746
2.7,-2.61868615811172
